Estimates,,,,,,
Profit and Loss - % of Revenue,,,,,,
Reporting Book:,ACCRUAL,ACCRUAL,ACCRUAL,,ACCRUAL,
As of Date:,,,,,,
Location:,,,,,,
Year To Date,,,,,,
12/25/22,,,,,,
,2022,2023,"2024 YTD
(10 Mo)",,"2024 Annualized
(10 Mo)",
Sales - Food,0.00,0.00,0.00,,0.00,
Sales - Beer,"47,768.00","41,192.01","31,800.06",,"38,160.07",-7%
Sales - Wine,"67,763.00","51,970.00","38,520.00",,"46,224.00",-11%
Total Sales - Liquor,"3,503,053.46","3,579,970.96","2,749,304.10",,"3,299,164.92",-8%
Sales - NA Beverage,"66,411.00","88,641.00","75,370.00",,"90,444.00",2%
Total Pour Sales,"3,684,995.46","3,761,773.97","2,894,994.16",,"3,473,992.99",-8%
Sales - Merchandise,"735,214.87","618,609.15","316,809.16",,"380,170.99",-39%
Total Sales,"4,420,210.33","4,380,383.12","3,211,803.32",,"3,854,163.98",-12%
,,,,,,
Beer,"12,701.50","9,999.52","9,547.22",,,
Wine,"13,324.16","13,376.39","12,935.16",,,
Liquor,"502,758.14","579,848.64","408,356.52",,,
Mixes and Garnish,"165,286.00","193,657.59","130,713.34",,,
Total Liquor Costs,"668,044.14","773,506.23","539,069.86",,,
NA Beverage,308.93,"2,691.35",36.50,,,
Merchandise,"453,619.18","501,771.58","155,249.23",,,
Total Cost of Sales,"1,147,997.91","1,301,345.07","716,837.97",,,
Total Gross Margin Before Other Income,"3,272,212.42","3,079,038.05","2,494,965.35",,"2,993,958.42",
,74%,70%,78%,,78%,
,,,,,,
Room Rental Income,"15,155.00",900.00,"3,587.00",,"3,587.00",
Total Gross Margin and Other Income,"3,287,367.42","3,079,938.05","2,498,552.35",,"2,997,545.42",-3%
,,,,,,
Payroll - FOH,"615,493.19","619,544.91","477,492.83",,"572,991.40",-8%
Payroll - Bar,"4,922.77",0.00,,,0.00,
Payroll - Supervision,"83,000.02","84,615.42","35,926.47",,"43,111.76",-49%
Payroll - Bonuses,"38,569.00","4,030.00","3,000.00",,"3,600.00",-11%
Payroll - Commissions,"31,875.17","24,497.79","9,484.92",,"11,381.90",-54%
Payroll - Health Insurnace,"6,557.36","12,897.34","6,923.88",,"8,308.66",-36%
Payroll - Taxes,"133,144.40","126,150.22","90,566.13",,"108,679.36",-14%
Insurance - Workers' Comp.,"22,574.00","11,997.00","21,145.50",,"25,374.60",112%
Total Employee Expenses,"936,135.91","883,732.68","644,539.73",,"773,447.68",-12%
,,,,,,
Complimentary Meals,"35,048.87","18,353.53","15,772.22",,"18,926.66",
Customer Chargbacks/Returns,295.56,141.84,"4,933.91",,"5,920.69",
Employee Meals,"5,950.50","6,489.00","6,933.50",,"8,320.20",
Managers' Meals,"12,849.00","25,973.00","28,443.69",,"34,132.43",
In-Store Discounts,"10,497.05","4,588.50","4,495.70",,"5,394.84",
Total Comps,"64,640.98","55,545.87","60,579.02",,"72,694.82",31%
,,,,,,
Bank Charges,229.70,136.60,42.80,,51.36,
Cash Over/Short,-308.80,276.51,134.96,,161.95,
Credit Card Fee Expense,"102,610.83","104,252.54","79,779.24",,"95,735.09",
